Category,Subcategory,Sub_Subcategory,Semester,Year,Internal,Subject_Code,Subject_Name,Module,Title,Telegram_File_ID,File_Name,Notes
Question Papers,Semester Examination,,1,2024,,M24CA1C101,Mathematical Foundations,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,1,2024,1,M24CA1C101,Mathematical Foundations,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,1,2024,2,M24CA1C101,Mathematical Foundations,,Second Internal 2024,,,
Question Papers,Semester Examination,,1,2025,,M24CA1C101,Mathematical Foundations,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,1,2025,1,M24CA1C101,Mathematical Foundations,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,1,2025,2,M24CA1C101,Mathematical Foundations,,Second Internal 2025,,,
Question Papers,Sample Papers,,1,,,M24CA1C102,Digital Fundamentals,,Sample Paper,,,
Question Papers,Semester Examination,,1,2024,,M24CA1C102,Digital Fundamentals,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,1,2024,1,M24CA1C102,Digital Fundamentals,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,1,2024,2,M24CA1C102,Digital Fundamentals,,Second Internal 2024,,,
Question Papers,Semester Examination,,1,2025,,M24CA1C102,Digital Fundamentals,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,1,2025,1,M24CA1C102,Digital Fundamentals,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,1,2025,2,M24CA1C102,Digital Fundamentals,,Second Internal 2025,,,
Question Papers,Sample Papers,,1,,,M24CA1C103,Advanced Software Engineering,,Sample Paper,,,
Question Papers,Semester Examination,,1,2024,,M24CA1C103,Advanced Software Engineering,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,1,2024,1,M24CA1C103,Advanced Software Engineering,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,1,2024,2,M24CA1C103,Advanced Software Engineering,,Second Internal 2024,,,
Question Papers,Semester Examination,,1,2025,,M24CA1C103,Advanced Software Engineering,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,1,2025,1,M24CA1C103,Advanced Software Engineering,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,1,2025,2,M24CA1C103,Advanced Software Engineering,,Second Internal 2025,,,
Question Papers,Sample Papers,,1,,,M24CA1C104,Advanced Data Structures,,Sample Paper,,,
Question Papers,Semester Examination,,1,2024,,M24CA1C104,Advanced Data Structures,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,1,2024,1,M24CA1C104,Advanced Data Structures,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,1,2024,2,M24CA1C104,Advanced Data Structures,,Second Internal 2024,,,
Question Papers,Semester Examination,,1,2025,,M24CA1C104,Advanced Data Structures,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,1,2025,1,M24CA1C104,Advanced Data Structures,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,1,2025,2,M24CA1C104,Advanced Data Structures,,Second Internal 2025,,,
Question Papers,Sample Papers,,1,,,M24CA1B105,Web Development Lab,,Sample Paper,,,
Question Papers,Semester Examination,,1,2024,,M24CA1B105,Web Development Lab,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,1,2024,1,M24CA1B105,Web Development Lab,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,1,2024,2,M24CA1B105,Web Development Lab,,Second Internal 2024,,,
Question Papers,Semester Examination,,1,2025,,M24CA1B105,Web Development Lab,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,1,2025,1,M24CA1B105,Web Development Lab,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,1,2025,2,M24CA1B105,Web Development Lab,,Second Internal 2025,,,
Question Papers,Sample Papers,,1,,,M24CA1L106,Programming Lab,,Sample Paper,,,
Question Papers,Semester Examination,,1,2024,,M24CA1L106,Programming Lab,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,1,2024,1,M24CA1L106,Programming Lab,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,1,2024,2,M24CA1L106,Programming Lab,,Second Internal 2024,,,
Question Papers,Semester Examination,,1,2025,,M24CA1L106,Programming Lab,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,1,2025,1,M24CA1L106,Programming Lab,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,1,2025,2,M24CA1L106,Programming Lab,,Second Internal 2025,,,
Question Papers,Sample Papers,,1,,,M24CA1L107,Data Structures Lab,,Sample Paper,,,
Question Papers,Semester Examination,,1,2024,,M24CA1L107,Data Structures Lab,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,1,2024,1,M24CA1L107,Data Structures Lab,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,1,2024,2,M24CA1L107,Data Structures Lab,,Second Internal 2024,,,
Question Papers,Semester Examination,,1,2025,,M24CA1L107,Data Structures Lab,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,1,2025,1,M24CA1L107,Data Structures Lab,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,1,2025,2,M24CA1L107,Data Structures Lab,,Second Internal 2025,,,
Question Papers,Sample Papers,,1,,,M24CA1N108,Research Methodology,,Sample Paper,,,
Question Papers,Semester Examination,,1,2024,,M24CA1N108,Research Methodology,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,1,2024,1,M24CA1N108,Research Methodology,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,1,2024,2,M24CA1N108,Research Methodology,,Second Internal 2024,,,
Question Papers,Semester Examination,,1,2025,,M24CA1N108,Research Methodology,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,1,2025,1,M24CA1N108,Research Methodology,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,1,2025,2,M24CA1N108,Research Methodology,,Second Internal 2025,,,
Question Papers,Sample Papers,,2,,,M24CA1C201,Advanced Computer Networks,,Sample Paper,,,
Question Papers,Semester Examination,,2,2024,,M24CA1C201,Advanced Computer Networks,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,2,2024,1,M24CA1C201,Advanced Computer Networks,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,2,2024,2,M24CA1C201,Advanced Computer Networks,,Second Internal 2024,,,
Question Papers,Semester Examination,,2,2025,,M24CA1C201,Advanced Computer Networks,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,2,2025,1,M24CA1C201,Advanced Computer Networks,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,2,2025,2,M24CA1C201,Advanced Computer Networks,,Second Internal 2025,,,
Question Papers,Sample Papers,,2,,,M24CA1C202,Advanced DBMS,,Sample Paper,,,
Question Papers,Semester Examination,,2,2024,,M24CA1C202,Advanced DBMS,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,2,2024,1,M24CA1C202,Advanced DBMS,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,2,2024,2,M24CA1C202,Advanced DBMS,,Second Internal 2024,,,
Question Papers,Semester Examination,,2,2025,,M24CA1C202,Advanced DBMS,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,2,2025,1,M24CA1C202,Advanced DBMS,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,2,2025,2,M24CA1C202,Advanced DBMS,,Second Internal 2025,,,
Question Papers,Sample Papers,,2,,,M24CA1C203,Advanced Operating Systems,,Sample Paper,,,
Question Papers,Semester Examination,,2,2024,,M24CA1C203,Advanced Operating Systems,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,2,2024,1,M24CA1C203,Advanced Operating Systems,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,2,2024,2,M24CA1C203,Advanced Operating Systems,,Second Internal 2024,,,
Question Papers,Semester Examination,,2,2025,,M24CA1C203,Advanced Operating Systems,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,2,2025,1,M24CA1C203,Advanced Operating Systems,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,2,2025,2,M24CA1C203,Advanced Operating Systems,,Second Internal 2025,,,
Question Papers,Sample Papers,,2,,,M24CA1E204B,Data Visualization,,Sample Paper,,,
Question Papers,Semester Examination,,2,2024,,M24CA1E204B,Data Visualization,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,2,2024,1,M24CA1E204B,Data Visualization,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,2,2024,2,M24CA1E204B,Data Visualization,,Second Internal 2024,,,
Question Papers,Semester Examination,,2,2025,,M24CA1E204B,Data Visualization,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,2,2025,1,M24CA1E204B,Data Visualization,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,2,2025,2,M24CA1E204B,Data Visualization,,Second Internal 2025,,,
Question Papers,Sample Papers,,2,,,M24CA1E204D,Cloud Computing,,Sample Paper,,,
Question Papers,Semester Examination,,2,2024,,M24CA1E204D,Cloud Computing,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,2,2024,1,M24CA1E204D,Cloud Computing,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,2,2024,2,M24CA1E204D,Cloud Computing,,Second Internal 2024,,,
Question Papers,Semester Examination,,2,2025,,M24CA1E204D,Cloud Computing,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,2,2025,1,M24CA1E204D,Cloud Computing,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,2,2025,2,M24CA1E204D,Cloud Computing,,Second Internal 2025,,,
Question Papers,Sample Papers,,2,,,M24CA1B205,OOP Lab,,Sample Paper,,,
Question Papers,Semester Examination,,2,2024,,M24CA1B205,OOP Lab,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,2,2024,1,M24CA1B205,OOP Lab,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,2,2024,2,M24CA1B205,OOP Lab,,Second Internal 2024,,,
Question Papers,Semester Examination,,2,2025,,M24CA1B205,OOP Lab,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,2,2025,1,M24CA1B205,OOP Lab,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,2,2025,2,M24CA1B205,OOP Lab,,Second Internal 2025,,,
Question Papers,Sample Papers,,2,,,M24CA1L206,Advanced Database Lab,,Sample Paper,,,
Question Papers,Semester Examination,,2,2024,,M24CA1L206,Advanced Database Lab,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,2,2024,1,M24CA1L206,Advanced Database Lab,,First Internal 2024,,,
Question Papers,Internal Examination,Second Internal,2,2024,2,M24CA1L206,Advanced Database Lab,,Second Internal 2024,,,
Question Papers,Semester Examination,,2,2025,,M24CA1L206,Advanced Database Lab,,Semester Exam 2025,,,
Question Papers,Internal Examination,First Internal,2,2025,1,M24CA1L206,Advanced Database Lab,,First Internal 2025,,,
Question Papers,Internal Examination,Second Internal,2,2025,2,M24CA1L206,Advanced Database Lab,,Second Internal 2025,,,
Question Papers,Sample Papers,,2,,,M24CA1L207,Operating Systems Lab,,Sample Paper,,,
Question Papers,Semester Examination,,2,2024,,M24CA1L207,Operating Systems Lab,,Semester Exam 2024,,,
Question Papers,Internal Examination,First Internal,2,2024,1,M24CA1L207,Operating Systems Lab,,First Internal 2024,,,
